class_idx,class_name,path_idx,endpoint_id,endpoint_name,path_hops,relation_seq,node_seq,weight
0,Abemaciclib,0,1573,6-Deoxyerythronolide B,1,drug_drug,Abemaciclib | 6-Deoxyerythronolide B,0.01672331802546978
0,Abemaciclib,1,1635,7-ethyl-10-hydroxycamptothecin,1,drug_drug,Abemaciclib | 7-ethyl-10-hydroxycamptothecin,0.016885410994291306
0,Abemaciclib,2,1695,9-aminocamptothecin,1,drug_drug,Abemaciclib | 9-aminocamptothecin,0.016307229176163673
0,Abemaciclib,3,3131,AVE9633,1,drug_drug,Abemaciclib | AVE9633,0.016642611473798752
0,Abemaciclib,4,3165,Abametapir,1,drug_drug,Abemaciclib | Abametapir,0.01592114195227623
0,Abemaciclib,5,3167,Abatacept,1,drug_drug,Abemaciclib | Abatacept,0.015645064413547516
0,Abemaciclib,6,3179,Acalabrutinib,1,drug_drug,Abemaciclib | Acalabrutinib,0.01628507860004902
0,Abemaciclib,7,3193,Acetaminophen,1,drug_drug,Abemaciclib | Acetaminophen,0.01490195281803608
0,Abemaciclib,8,3195,Acetazolamide,1,drug_drug,Abemaciclib | Acetazolamide,0.014098918065428734
0,Abemaciclib,9,3238,Acyclovir,1,drug_drug,Abemaciclib | Acyclovir,0.014893695712089539
0,Abemaciclib,10,3240,Adalimumab,1,drug_drug,Abemaciclib | Adalimumab,0.015857772901654243
0,Abemaciclib,11,3277,Afatinib,1,drug_drug,Abemaciclib | Afatinib,0.016912510618567467
0,Abemaciclib,12,3278,Afelimomab,1,drug_drug,Abemaciclib | Afelimomab,0.0157218798995018
0,Abemaciclib,13,3317,Albendazole,1,drug_drug,Abemaciclib | Albendazole,0.01610383577644825
0,Abemaciclib,14,3328,Aldesleukin,1,drug_drug,Abemaciclib | Aldesleukin,0.014577548950910568
0,Abemaciclib,15,3331,Alectinib,1,drug_drug,Abemaciclib | Alectinib,0.016527581959962845
0,Abemaciclib,16,3361,Allopurinol,1,drug_drug,Abemaciclib | Allopurinol,0.015082167461514473
0,Abemaciclib,17,3363,Allylestrenol,1,drug_drug,Abemaciclib | Allylestrenol,0.015079044736921787
0,Abemaciclib,18,3375,Alpelisib,1,drug_drug,Abemaciclib | Alpelisib,0.016162995249032974
0,Abemaciclib,19,3414,Alvocidib,1,drug_drug,Abemaciclib | Alvocidib,0.01721823401749134
0,Abemaciclib,20,3423,Ambrisentan,1,drug_drug,Abemaciclib | Ambrisentan,0.01548231765627861
0,Abemaciclib,21,3442,Aminoglutethimide,1,drug_drug,Abemaciclib | Aminoglutethimide,0.016822125762701035
0,Abemaciclib,22,3453,Amiodarone,1,drug_drug,Abemaciclib | Amiodarone,0.014592954888939857
0,Abemaciclib,23,3467,Amobarbital,1,drug_drug,Abemaciclib | Amobarbital,0.014436345547437668
0,Abemaciclib,24,3476,Amphotericin B,1,drug_drug,Abemaciclib | Amphotericin B,0.014778117649257183
0,Abemaciclib,25,3478,Amprenavir,1,drug_drug,Abemaciclib | Amprenavir,0.01571750082075596
